trajectory_id,particle,phase_pre,phase_post,rel_x_pre_um,rel_y_pre_um,rel_z_pre_um,rel_x_post_um,rel_y_post_um,rel_z_post_um,step_len_um,edep_keV
T000001,Li7,BN,binder_void,0,0,0,-0.03171,-0.08242,-0.004585,0.0884404,57.6249
T000001,Li7,binder_void,ZnS,-0.03171,-0.08242,-0.004585,-0.06308,-0.16536,-0.009037,0.0887838,18.3121
T000001,Li7,ZnS,ZnS,-0.06308,-0.16536,-0.009037,-0.62268,-1.64894,0.101348,1.59989,764.063
T000001,Li7,ZnS,ZnS,-0.62268,-1.64894,0.101348,-0.62268,-1.64894,0.101348,0,0
T000002,alpha,BN,binder_void,0,0,0,0.32005,0.832,0.046277,0.892747,331.804
T000002,alpha,binder_void,BN,0.32005,0.832,0.046277,0.39259,1.02133,0.056624,0.203013,31.4578
T000002,alpha,BN,binder_void,0.39259,1.02133,0.056624,0.73947,1.93248,0.101651,0.976205,401.836
T000002,alpha,binder_void,BN,0.73947,1.93248,0.101651,0.76809,2.00208,0.105352,0.0753215,15.8725
T000002,alpha,BN,binder_void,0.76809,2.00208,0.105352,1.07988,2.75968,0.144438,0.82067,360.149
T000002,alpha,binder_void,BN,1.07988,2.75968,0.144438,1.11497,2.86848,0.150101,0.114398,19.3453
T000002,alpha,BN,binder_void,1.11497,2.86848,0.150101,1.25111,3.31618,0.186368,0.469945,169.618
T000002,alpha,binder_void,BN,1.25111,3.31618,0.186368,1.36578,3.81798,0.170987,0.515974,53.8287
T000002,alpha,BN,BN,1.36578,3.81798,0.170987,1.5104,4.46198,0.156081,0.683576,86.088
T000002,alpha,BN,BN,1.5104,4.46198,0.156081,1.5104,4.46198,0.156081,0,0
T000003,Li7,BN,binder_void,0,0,0,-0.14523,0.33382,0.347668,0.503621,319.953
T000003,Li7,binder_void,ZnS,-0.14523,0.33382,0.347668,-0.38279,0.89076,0.916241,0.831114,118.272
T000003,Li7,ZnS,ZnS,-0.38279,0.89076,0.916241,-1.0913,1.81728,1.782831,1.48299,395.93
T000003,Li7,ZnS,ZnS,-1.0913,1.81728,1.782831,-1.10516,1.82618,1.785611,0.277521,5.84549
T000003,Li7,ZnS,ZnS,-1.10516,1.82618,1.785611,-1.10516,1.82618,1.785611,0,0
T000004,alpha,BN,binder_void,0,0,0,0.04524,-0.10399,-0.108306,0.156819,54.4006
T000004,alpha,binder_void,BN,0.04524,-0.10399,-0.108306,0.35819,-0.82235,-0.852354,1.08061,169.05
T000004,alpha,BN,binder_void,0.35819,-0.82235,-0.852354,0.5045,-1.15922,-1.197413,0.503985,206.856
